tod,username,seed,Trial #,Trial A Time,Trial A Errors,Trial A Average Time Between Targets,Trial A Standard Devation Between Targets,Trial B Time,Trial B Errors,Trial B Average Time Between Targets,Trial B Standard Devation Between Targets
1469816913812,P03_1,1469816913659,1,9.42,1.0,0.3925,0.32806692,19.839,2.0,0.8266414,1.6092821
1469817568586,P03_1,1469817568405,2,7.812,0.0,0.3255,0.1423426,17.856,0.0,0.7440135,0.65574056
1469818175280,P03_1,1469818175094,3,8.101,0.0,0.33754167,0.12477211,33.186,17.0,1.382764,2.7360551
1469818789685,P03_1,1469818789503,4,10.207,1.0,0.42529166,0.32184127,11.49,0.0,0.47876772,0.2324289
1469819392071,P03_1,1469819391887,5,9.117,0.0,0.379875,0.24343312,26.415,10.0,1.1006408,1.8867213
1469819987614,P03_1,1469819987435,6,9.912,0.0,0.413,0.23006883,17.754,6.0,0.73976725,0.87321454
1469820598029,P03_1,1469820597845,7,9.198,0.0,0.38325,0.1881197,17.621,2.0,0.7342243,0.55749315
1469821201598,P03_1,1469821201416,8,7.278,0.0,0.30325,0.1341654,12.013,0.0,0.50055426,0.38702402
1469821800085,P03_1,1469821799899,9,7.948,0.0,0.33116665,0.14378011,13.594,1.0,0.5664305,0.7300528
1469822402603,P03_1,1469822402419,10,12.178,5.0,0.50741667,0.5072998,14.976,4.0,0.6240212,0.5262704
1469823003658,P03_1,1469823003472,11,9.38,2.0,0.39083335,0.57722497,13.13,1.0,0.5470996,0.3810586
1469823623341,P03_1,1469823623156,12,10.971,2.0,0.457125,0.44260257,17.99,4.0,0.7496024,1.2996079
1469824038426,P03_1,1469824038240,13,9.416,2.0,0.39233333,0.34608632,11.331,0.0,0.47214136,0.20773306
1470143710883,P03_1,1470143710698,14,13.455,0.0,0.560625,0.38034663,24.948,3.0,1.0395234,0.78156734
1470144362996,P03_1,1470144362807,15,10.719,0.0,0.446625,0.16638005,21.731,0.0,0.905477,0.57670194
1470144948717,P03_1,1470144948527,16,14.036,4.0,0.5848333,0.66839945,19.102,0.0,0.7959411,0.39960176
1470145546639,P03_1,1470145546454,17,9.745,0.0,0.40604165,0.15503293,22.303,2.0,0.9293086,0.9257424
1470146152584,P03_1,1470146152399,18,12.495,0.0,0.520625,0.22584154,17.062,0.0,0.7109383,0.29803285
1470146754174,P03_1,1470146753984,19,11.445,0.0,0.476875,0.26268,18.636,0.0,0.77651983,0.4446028
1470147945846,P03_1,1470147945660,20,14.991,0.0,0.624625,0.5600015,17.923,0.0,0.7468177,0.36249825
1470148546425,P03_1,1470148546238,21,11.808,0.0,0.492,0.3653998,18.943,0.0,0.7893122,0.55882597
1470149157292,P03_1,1470149157104,22,11.867,0.0,0.49445835,0.27160725,16.77,0.0,0.6987706,0.50750077
1470149762549,P03_1,1470149762355,23,10.95,0.0,0.45625,0.18065327,22.97,0.0,0.95710236,0.40044278
1470150359133,P03_1,1470150358948,24,12.841,3.0,0.5350417,0.59181845,16.454,0.0,0.68560565,0.26460314
1470150898952,P03_1,1470150898764,25,14.393,4.0,0.5997083,0.53683263,19.531,0.0,0.81381667,0.39527273
1470318035453,P03_1,1470318035076,26,8.563,0.0,0.35679165,0.1253937,11.154,1.0,0.4647649,0.31357607
1470318644229,P03_1,1470318644038,27,9.772,2.0,0.40716666,0.30374274,9.128,0.0,0.38035032,0.15556207
1470319241486,P03_1,1470319241298,28,8.384,1.0,0.34933335,0.27000922,11.158,3.0,0.46493125,0.38987455
1470319845032,P03_1,1470319844846,29,10.822,0.0,0.45091665,0.22601382,13.304,2.0,0.5543521,0.38198215
1470320443823,P03_1,1470320443636,30,8.472,2.0,0.353,0.23678891,10.838,2.0,0.45159805,0.32622513
1470321055614,P03_1,1470321055422,31,8.671,1.0,0.36129165,0.24197616,18.672,5.0,0.7780151,1.1084456
1470321643187,P03_1,1470321643001,32,11.154,4.0,0.46475,0.60815936,9.822,1.0,0.4092694,0.33258286
1470322245752,P03_1,1470322245564,33,8.789,0.0,0.36620834,0.1433649,9.92,0.0,0.41334862,0.41676185
1470322839383,P03_1,1470322839194,34,9.589,2.0,0.39954165,0.40851927,12.408,2.0,0.51701665,0.5150157
1470323441941,P03_1,1470323441755,35,8.439,0.0,0.35158333,0.16312315,14.078,4.0,0.586598,0.8225188
1470324040820,P03_1,1470324040628,36,7.223,0.0,0.30095834,0.16930015,10.337,2.0,0.43072087,0.3022042
1470324640992,P03_1,1470324640792,37,9.758,2.0,0.40658334,0.24187997,15.786,4.0,0.6577669,0.5959696
1470325243593,P03_1,1470325243405,38,8.992,0.0,0.37466666,0.23417847,8.738,0.0,0.36409897,0.2040098
