seed,DistanceA 1,DistanceA 2,DistanceA 3,DistanceA 4,DistanceA 5,DistanceA 6,DistanceA 7,DistanceA 8,DistanceA 9,DistanceA 10,DistanceA 11,DistanceA 12,DistanceA 13,DistanceA 14,DistanceA 15,DistanceA 16,DistanceA 17,DistanceA 18,DistanceA 19,DistanceA 20,DistanceA 21,DistanceA 22,DistanceA 23,DistanceA 24,DistanceB 1,DistanceB 2,DistanceB 3,DistanceB 4,DistanceB 5,DistanceB 6,DistanceB 7,DistanceB 8,DistanceB 9,DistanceB 10,DistanceB 11,DistanceB 12,DistanceB 13,DistanceB 14,DistanceB 15,DistanceB 16,DistanceB 17,DistanceB 18,DistanceB 19,DistanceB 20,DistanceB 21,DistanceB 22,DistanceB 23,DistanceB 24
1469816913659,87.72685,153.39491,137.4409,115.767006,202.0,135.07405,110.34492,133.84319,255.56604,97.308784,154.77725,210.02142,286.3564,217.34074,96.40021,117.15375,90.78546,389.53946,1145.5885,83.21658,74.518456,86.28442,337.81653,68.65858,162.6899,103.40696,111.5706,107.07474,122.41323,68.44706,250.57733,162.26213,125.31959,176.18172,175.44514,174.64536,119.54916,109.83624,160.5148,85.44589,74.62573,128.44453,180.82588,377.46124,256.01758,289.34753,205.54805,526.1796
1469817568405,165.14842,133.30417,88.391174,242.34892,193.86852,95.0,105.36128,116.81181,122.18838,293.55237,73.82411,268.8215,256.26547,161.30096,218.96118,127.22421,96.76776,95.77056,259.21805,94.14882,98.02041,73.593475,114.1096,1020.9574,84.59905,160.37769,189.6233,90.27181,277.35898,142.90207,109.9318,330.6539,539.749,118.08895,112.64546,78.56844,259.23734,156.37135,112.21854,84.38602,245.81497,235.25519,112.1606,208.62646,261.85873,165.30275,127.141655,410.9112
1469818175094,94.76286,225.49722,69.426216,160.3808,152.1611,149.81656,68.007355,205.4556,103.8316,297.4105,116.70904,157.27682,168.5141,160.43066,177.71043,142.12671,142.66394,109.444046,97.52948,341.826,322.72125,242.72,192.98186,879.0569,146.50938,96.317184,121.16518,124.90396,87.29834,168.5853,74.323616,219.82948,162.3607,205.13898,162.45923,96.25487,159.51175,106.400185,178.02528,98.61542,215.23244,186.26057,101.51354,503.0169,155.11609,642.17523,374.6385,597.35834
1469818789503,109.07796,73.33485,141.48145,131.32022,224.15396,98.11218,166.37308,80.95678,224.51057,162.11725,478.03766,116.38728,69.18092,119.507324,208.43465,262.84024,81.88406,80.0,185.82788,82.46211,691.31903,125.39936,176.40862,284.5435,69.260376,95.880135,103.01942,189.4967,197.48924,170.46994,93.941475,125.51494,220.65584,110.11358,333.92365,186.38669,121.74153,114.947815,70.21396,336.40005,110.63905,94.17537,88.72993,167.96725,322.4934,273.57816,177.67386,433.04617
1469819391887,177.00282,105.65037,100.49876,94.19129,132.92479,81.32035,141.89081,126.31706,76.2168,148.14183,180.42172,114.236595,144.50606,145.03104,105.30432,234.79779,134.00374,227.27077,794.25183,410.20605,195.60419,447.2695,232.26064,105.42296,141.65099,176.66353,75.153175,124.42267,81.49847,190.06578,127.01181,110.16351,166.96407,103.24728,107.70794,103.4698,172.75417,113.99123,123.69317,78.714676,274.04562,444.07205,216.94469,233.45235,215.11392,167.8392,986.84247,502.48682
1469819987435,93.60555,113.46365,187.2111,90.97253,91.08787,75.42546,169.95587,171.01169,280.12854,164.01219,120.070816,108.25895,112.80071,160.3808,215.71277,424.97293,284.78763,160.72336,1094.5378,157.45793,76.537575,74.96666,220.20445,144.69969,99.68952,167.36188,205.75957,90.62009,248.95984,151.48927,118.92855,90.0,117.54574,174.5222,71.25307,239.08157,358.3769,125.57468,102.9563,183.17477,131.30879,214.3735,140.89003,85.60374,187.55266,231.225,143.62799,160.0125
1469820597845,94.82616,121.24768,156.69716,127.45587,74.70609,119.01681,136.18002,92.19544,233.80548,73.736015,528.6823,190.59119,105.62197,238.83258,156.72269,153.83757,88.95505,139.46326,327.56677,267.31628,357.2408,357.82956,130.51053,718.10443,92.541885,174.77129,118.70131,288.5637,110.06362,117.88554,136.89412,210.1095,151.55856,202.68448,189.65495,192.82376,160.41508,222.52415,487.37048,168.18144,113.99123,346.09247,309.00647,260.96936,164.4506,368.62177,78.58753,173.00288
1469821201416,178.61691,101.96568,307.94968,154.7385,97.45255,103.44564,78.160095,194.4865,146.50938,147.62791,74.330345,148.18907,308.13147,182.47191,125.31959,109.89541,635.0071,324.46417,163.71927,137.90576,263.5185,115.97414,456.16882,75.96052,134.13426,122.20065,200.86064,143.37712,69.856995,170.75128,202.18062,98.43272,87.72685,84.50444,246.48935,231.6247,70.76723,416.3472,88.051125,142.62187,215.74522,179.61069,112.00446,153.10127,114.01754,121.65936,239.63513,317.91824
1469821799899,240.25195,189.85521,128.84486,138.22084,76.941536,163.1104,144.41953,224.74208,114.56003,172.7339,160.63934,145.16887,70.178345,154.20766,175.03429,181.70581,121.79491,121.64292,90.73588,359.00558,498.20578,1038.2158,241.56987,139.3162,212.08488,190.43372,175.75551,165.0606,90.24411,179.2038,413.34247,152.83978,87.69264,71.5891,452.09732,68.68042,121.70867,81.608826,140.0,271.7738,125.71794,155.61812,172.02615,165.24527,83.546394,574.25867,326.03833,91.706055
1469822402419,243.79704,144.55449,75.153175,115.11733,170.57843,85.09406,72.835434,352.6769,201.10942,96.13532,86.35392,174.0,366.6947,142.42542,136.49908,206.69301,86.764046,141.039,197.85349,159.62456,190.22356,373.28943,155.93909,146.4138,119.70798,151.60475,146.8128,346.1358,88.45903,162.75441,171.4322,167.10774,68.0147,401.3303,96.64885,157.81319,138.49548,99.04544,134.13426,258.68127,87.11487,169.18924,228.5279,94.15413,181.83784,168.37161,292.43802,234.64867
